8.36,19.91
8.83,19.95
9.22,19.94
9.67,19.94
10.09,19.93
10.56,19.93
10.96,19.92
11.4,19.92
11.82,19.83
11.98,19.49
11.88,19.28
11.6,19.11
11.2,19.06
10.91,18.61
10.95,18.03
11.02,17.64
11.09,17.24
11.19,16.8
11.28,16.31
11.37,15.9
11.43,15.56
11.52,15.16
11.6,14.77
11.67,14.41
11.76,14.02
11.84,13.62
11.91,13.22
12.01,12.8
12.47,12.76
12.59,13.17
12.7,13.55
12.79,13.93
12.91,14.32
13.04,14.81
13.17,15.24
13.27,15.64
13.37,16.03
13.49,16.44
13.62,16.9
13.72,17.3
13.83,17.7
13.97,18.17
14.1,18.64
14.22,19.11
14.36,19.56
14.62,19.88
14.97,19.74
15.12,19.22
15.22,18.78
15.33,18.34
15.43,17.93
15.54,17.48
15.65,17.04
15.75,16.62
15.86,16.12
15.99,15.62
16.11,15.14
16.21,14.66
16.34,14.17
16.46,13.69
16.55,13.24
16.67,12.81
16.78,12.31
16.9,11.8
17.03,11.3
17,10.71
16.93,10.2
16.82,9.71
16.71,9.15
16.31,8.99
15.89,9.02
15.68,9.37
15.59,9.82
15.51,10.25
15.42,10.64
15.34,11.05
15.23,11.47
15.16,11.87
15.07,12.27
14.98,12.67
14.91,13.03
14.83,13.44
14.73,13.86
14.64,14.3
14.55,14.74
14.45,15.16
14.36,15.63
14.17,16.22
14.16,16.52
13.85,15.45
13.72,15
13.61,14.58
13.51,14.21
13.41,13.83
13.3,13.43
13.2,13.06
13.1,12.69
12.99,12.3
12.89,11.9
12.79,11.54
12.68,11.13
12.57,10.75
12.48,10.36
12.35,9.92
12.21,9.38
11.99,9.08
11.55,9.04
11.16,9.06
11,9.39
10.91,9.82
10.81,10.24
10.72,10.68
10.62,11.11
10.52,11.51
10.45,11.86
10.36,12.28
10.27,12.71
10.17,13.13
10.07,13.62
9.96,14.04
9.87,14.51
9.76,14.93
9.69,15.3
9.59,15.73
9.49,16.16
9.42,16.52
9.32,16.93
9.24,17.34
9.13,17.8
8.98,18.34
8.75,18.79
8.39,18.89
